Model,RMSE,R2,TrainTime,PredTime,Topsis Score,Rank
LR,13.88429013537201,0.2384012204905634,0.0347814559936523,0.0026485919952392,0.7392913509367379,4
DT,17.24224692415455,-0.1745367208651491,0.0072302818298339,0.00262451171875,0.40241959343278677,6
RF,12.740471086258273,0.3587168160596303,0.5953338146209717,0.0276000499725341,0.5552603791382081,5
GB,11.907505170781636,0.4398292393102947,0.2598378658294678,0.0021185874938964,0.8414603006560787,2
SVR,13.066773949002528,0.3254476888234624,0.0420930385589599,0.010298728942871,0.8031725605101672,3
KNN,12.75905632491271,0.3568445000428419,0.0043392181396484,0.0025684833526611,0.8893888876998484,1
